price,website,brand,size,target_kg_min,target_kg_max,units,unit_price
"2015.0","www.panalesonline.com.ar","estrella","xxg","14","20","34","59.26"
"3289.0","www.panalesonline.com.ar","estrella","xxg","14","20","56","58.73"
"4299.0","www.panalesonline.com.ar","pampers","g","9","12","110","39.08"
"4299.0","www.panalesonline.com.ar","pampers","xg","12","15","96","44.78"
"4299.0","www.panalesonline.com.ar","pampers","xxg","14","20","88","48.85"
"1485.0","www.panalesonline.com.ar","huggies","p","3.5","6","12","123.75"
"1485.0","www.panalesonline.com.ar","huggies","m","5.5","9.5","11","135.0"
"1485.0","www.panalesonline.com.ar","huggies","g","9","12.5","10","148.5"
"1759.0","www.panalesonline.com.ar","huggies","p","3.5","6","50","35.18"
"2050.0","www.panalesonline.com.ar","huggies","m","5.5","9.5","36","56.94"
"2050.0","www.panalesonline.com.ar","huggies","g","9","12.5","30","68.33"
"2050.0","www.panalesonline.com.ar","huggies","xg","12","15","24","85.42"
"2050.0","www.panalesonline.com.ar","huggies","xxg","14","20","24","85.42"
"1459.0","www.panalesonline.com.ar","babysec","m","5","9.5","48","30.4"
"2019.0","www.panalesonline.com.ar","babysec","m","5","9.5","68","29.69"
"1459.0","www.panalesonline.com.ar","babysec","g","8.5","12","40","36.48"
"2019.0","www.panalesonline.com.ar","babysec","g","8.5","12","60","33.65"
"1259.0","www.panalesonline.com.ar","babysec","xg","11","15","32","39.34"
"2019.0","www.panalesonline.com.ar","babysec","xg","11","15","52","38.83"
"1259.0","www.panalesonline.com.ar","babysec","xxg","13","20","30","41.97"
"2019.0","www.panalesonline.com.ar","babysec","xxg","13","20","50","40.38"
"2560.0","www.panalesonline.com.ar","huggies","m","5.5","9.5","68","37.65"
"2560.0","www.panalesonline.com.ar","huggies","g","9","12.5","60","42.67"
"2560.0","www.panalesonline.com.ar","huggies","xg","12","15","52","49.23"
"2560.0","www.panalesonline.com.ar","huggies","xxg","14","20","50","51.2"
"2560.0","www.panalesonline.com.ar","huggies","xxg","14","20","48","53.33"
"3205.0","www.panalesonline.com.ar","pampers","m","6","9.5","72","44.51"
"3205.0","www.panalesonline.com.ar","pampers","g","9","12","72","44.51"
"4599.0","www.panalesonline.com.ar","pampers","g","9","12","110","41.81"
"3205.0","www.panalesonline.com.ar","pampers","xg","12","15","58","55.26"
"4599.0","www.panalesonline.com.ar","pampers","xg","12","15","96","47.91"
"3205.0","www.panalesonline.com.ar","pampers","xxg","14","20","54","59.35"
"4599.0","www.panalesonline.com.ar","pampers","xxg","14","20","88","52.26"
"1019.0","www.panalesonline.com.ar","huggies","p","3.5","6","30","33.97"
"1405.0","www.panalesonline.com.ar","huggies","p","3.5","6","50","28.1"
"869.0","www.panalesonline.com.ar","babysec","p","0","6","30","28.97"
"1975.0","www.panalesonline.com.ar","babysec","m","5","9.5","48","41.15"
"1975.0","www.panalesonline.com.ar","babysec","g","8.5","12","40","49.38"
"2625.0","www.panalesonline.com.ar","babysec","g","8.5","12","60","43.75"
"2625.0","www.panalesonline.com.ar","babysec","xg","11","15","48","54.69"
"1975.0","www.panalesonline.com.ar","babysec","xg","11","15","32","61.72"
"1975.0","www.panalesonline.com.ar","babysec","xxg","13","20","30","65.83"
"2625.0","www.panalesonline.com.ar","babysec","xxg","13","20","44","59.66"
"1319.0","www.panalesonline.com.ar","estrella","p","5","7.5","30","43.97"
"1155.0","www.panalesonline.com.ar","babysec","rn","0","4.5","20","57.75"
"1905.0","www.panalesonline.com.ar","pampers","p","5","7.5","56","34.02"
"1149.0","www.panalesonline.com.ar","huggies","p","3.5","6","50","22.98"
"1019.0","www.panalesonline.com.ar","huggies","rn","0","4","34","29.97"
"2205.0","www.panalesonline.com.ar","huggies","m","5.5","9.5","68","32.43"
"2205.0","www.panalesonline.com.ar","huggies","g","9","12.5","60","36.75"
"2205.0","www.panalesonline.com.ar","huggies","xg","12","15","52","42.4"
"2205.0","www.panalesonline.com.ar","huggies","xxg","14","20","50","44.1"
"739.0","www.panalesonline.com.ar","huggies","p","3.5","6","30","24.63"
"1686.13","www.panalesonline.com.ar","pampers","xg","12","15","20","84.31"
"1686.13","www.panalesonline.com.ar","pampers","xxg","14","20","18","93.67"
"1570.0","www.panalesonline.com.ar","huggies","p","3.5","6","24","65.42"
